"time","singleChiller.singleChiller.chillerWithHex2_1.chi.P","supplyTemp","returnTemp"
4320,636396.3879195586,291.5587059417126,291.558184442125
4325,636396.4414758645,291.5587050583885,291.5581901281016
4330,636396.4950321743,291.5587041750643,291.5581958140781
4335,636396.5485884791,291.5587032917402,291.5582015000546
4340,636396.6021447906,291.5587024084161,291.5582071860312
4345,636396.6557011006,291.558701525092,291.5582128720077
4350,636396.7092574084,291.5587006417678,291.5582185579842
4355,636396.7628137207,291.5586997584437,291.5582242439607
4360,636396.8163700365,291.5586988751196,291.5582299299372
4365,636396.8699263472,291.5586979917954,291.5582356159138
4370,636396.9234826653,291.5586971084713,291.5582413018903
4375,636396.9770389816,291.5586962251472,291.5582469878668
4380,636397.0305952984,291.5586953418231,291.5582526738434
4385,636397.0841516161,291.558694458499,291.5582583598199
4390,636397.1377079358,291.5586935751749,291.5582640457964
4395,636397.191264256,291.5586926918507,291.5582697317729
4400,636397.2448205769,291.5586918085266,291.5582754177494
4405,636397.298376899,291.5586909252025,291.558281103726
4410,636397.3519332226,291.5586900418783,291.5582867897025
4415,636397.4054895462,291.5586891585542,291.558292475679
4420,636397.4590458721,291.5586882752301,291.5582981616556
4425,636397.5126022012,291.5586873919059,291.5583038476321
4430,636397.5661585249,291.5586865085818,291.5583095336086
4435,636397.6197148537,291.5586856252577,291.5583152195851
4440,636397.673271186,291.5586847419336,291.5583209055616
4445,636397.7268275134,291.5586838586095,291.5583265915382
4450,636397.7803838452,291.5586829752854,291.5583322775147
4455,636397.8339401805,291.5586820919612,291.5583379634912
4460,636397.8874965106,291.5586812086371,291.5583436494678
4465,636397.9410528453,291.558680325313,291.5583493354443
4470,636397.994609184,291.5586794419888,291.5583550214208
4475,636398.0481655173,291.5586785586647,291.5583607073973
4480,636398.1017218578,291.5586776753406,291.5583663933738
4485,636398.1552781968,291.5586767920165,291.5583720793504
4490,636398.2088345331,291.5586759086924,291.5583777653269
4495,636398.2623908741,291.5586750253682,291.5583834513034
4500,636398.3159472187,291.5586741420441,291.55838913728
4505,636398.3695035616,291.55867325872,291.5583948232565
4510,636398.4230599049,291.5586723753959,291.558400509233
4515,636398.4766162499,291.5586714920718,291.5584061952095
4520,636398.5301725962,291.5586706087476,291.558411881186
4525,636398.5837289424,291.5586697254235,291.5584175671626
4530,636398.6372852904,291.5586688420994,291.5584232531391
4535,636398.6908416396,291.5586679587752,291.5584289391156
4540,636398.744397989,291.5586670754511,291.5584346250922
4545,636398.7979543403,291.558666192127,291.5584403110686
4550,636398.8515106924,291.5586653088029,291.5584459970452
4555,636398.9050670449,291.5586644254788,291.5584516830217
4560,636398.9586233991,291.5586635421546,291.5584573689982
4565,636399.0121797572,291.5586626588305,291.5584630549748
4570,636399.0657361101,291.5586617755064,291.5584687409513
4575,636399.1192924671,291.5586608921823,291.5584744269278
4580,636399.1728488286,291.5586600088581,291.5584801129044
4585,636399.2264051845,291.558659125534,291.5584857988808
4590,636399.2531951563,291.5586586836775,291.5584883386141
4595,636399.2607432206,291.5586585591846,291.5584886165663
4600,636399.2682912815,291.5586584346916,291.5584888945185
4605,636399.2758393458,291.5586583101987,291.5584891724707
4610,636399.28338741,291.5586581857057,291.5584894504229
4615,636399.2909354742,291.5586580612128,291.558489728375
4620,636399.2984835387,291.5586579367198,291.5584900063272
4625,636399.3060316031,291.5586578122269,291.5584902842795
4630,636399.3135796641,291.558657687734,291.5584905622316
4635,636399.3211277286,291.558657563241,291.5584908401838
4640,636399.3286757957,291.5586574387481,291.558491118136
4645,636399.33622386,291.5586573142551,291.5584913960882
4650,636399.3437719246,291.5586571897622,291.5584916740404
4655,636399.3513199891,291.5586570652692,291.5584919519926
4660,636399.3588680503,291.5586569407763,291.5584922299448
4665,636399.3664161147,291.5586568162834,291.5584925078969
4670,636399.3739641792,291.5586566917904,291.5584927858491
4675,636399.3815122438,291.5586565672975,291.5584930638013
4680,636399.3890603083,291.5586564428045,291.5584933417535
4685,636399.3966083697,291.5586563183116,291.5584936197057
4690,636399.4041564368,291.5586561938186,291.5584938976579
4695,636399.4117045015,291.5586560693257,291.5584941756101
4700,636399.4192525662,291.5586559448328,291.5584944535622
4705,636399.4268006306,291.5586558203398,291.5584947315144
4710,636399.4343486954,291.5586556958469,291.5584950094666
4715,636399.4418967568,291.5586555713539,291.5584952874188
4720,636399.4494448216,291.558655446861,291.558495565371
4725,636399.4569928863,291.5586553223681,291.5584958433232
4730,636399.4645409511,291.5586551978751,291.5584961212754
4735,636399.4720890159,291.5586550733822,291.5584963992276
4740,636399.479637081,291.5586549488892,291.5584966771797
4745,636399.4871851449,291.5586548243963,291.5584969551319
4750,636399.4947332097,291.5586546999033,291.5584972330841
4755,636399.5022812746,291.5586545754104,291.5584975110363
4760,636399.5098293397,291.5586544509175,291.5584977889885
4765,636399.5173774045,291.5586543264245,291.5584980669407
4770,636399.524925466,291.5586542019316,291.5584983448929
4775,636399.5324735312,291.5586540774386,291.558498622845
4780,636399.5400215961,291.5586539529457,291.5584989007972
4785,636399.5475696612,291.5586538284527,291.5584991787495
4790,636399.555117726,291.5586537039598,291.5584994567016
4795,636399.562665794,291.5586535794669,291.5584997346538
4800,636399.5702138555,291.5586534549739,291.558500012606
4805,636399.5777619206,291.558653330481,291.5585002905582
4810,636399.5853099857,291.558653205988,291.5585005685104
4815,636399.5928580509,291.5586530814951,291.5585008464626
4820,636399.6004061159,291.5586529570022,291.5585011244148
4825,636399.6079541813,291.5586528325092,291.5585014023669
4830,636399.6155022428,291.5586527080163,291.5585016803191
4835,636399.6230503081,291.5586525835233,291.5585019582713
4840,636399.6305983732,291.5586524590304,291.5585022362235
4845,636399.6381464385,291.5586523345374,291.5585025141757
4850,636399.645694504,291.5586522100445,291.5585027921279
4855,636399.6532425687,291.5586520855516,291.5585030700801
4860,636399.6607906338,291.5586519610586,291.5585033480323
4865,636399.6683386993,291.5586518365657,291.5585036259844
4870,636399.6758867647,291.5586517120727,291.5585039039366
4875,636399.6834348299,291.5586515875798,291.5585041818888
4880,636399.6909828919,291.5586514630868,291.558504459841
4885,636399.6985309575,291.5586513385939,291.5585047377932
4890,636399.7060790228,291.558651214101,291.5585050157454
4895,636399.7136270881,291.558651089608,291.5585052936976
4900,636399.7211751539,291.5586509651151,291.5585055716497
4905,636399.7287232219,291.5586508406221,291.5585058496019
4910,636399.7362712843,291.5586507161292,291.5585061275541
4915,636399.7438193498,291.5586505916363,291.5585064055063
4920,636399.7513674153,291.5586504671433,291.5585066834585
4925,636399.7589154809,291.5586503426504,291.5585069614107
4930,636399.7664635464,291.5586502181574,291.5585072393629
4935,636399.7740116122,291.5586500936645,291.558507517315
4940,636399.7815596744,291.5586499691716,291.5585077952672
4945,636399.78910774,291.5586498446787,291.5585080732195
4950,636399.7966558058,291.5586497201857,291.5585083511716
4955,636399.8042038713,291.5586495956927,291.5585086291238
4960,636399.8117519396,291.5586494711998,291.558508907076
4965,636399.8193000057,291.5586493467068,291.5585091850282
4970,636399.8268480677,291.5586492222139,291.5585094629804
4975,636399.8343961337,291.558649097721,291.5585097409325
4980,636399.8419441993,291.5586489732281,291.5585100188848
4985,636399.8494922654,291.5586488487351,291.5585102968369
4990,636399.857040331,291.5586487242422,291.5585105747891
4995,636399.8645883936,291.5586485997492,291.5585108527413
5000,636399.8721364595,291.5586484752563,291.5585111306935
5005,636399.8796845253,291.5586483507633,291.5585114086457
5010,636399.887232594,291.5586482262704,291.5585116865979
5015,636399.89478066,291.5586481017775,291.5585119645501
5020,636399.9023287261,291.5586479772845,291.5585122425023
5025,636399.9098767887,291.5586478527916,291.5585125204544
